name,address,city,state,zip,phone,website,category,description,latitude,longitude,popup_image,banner_image,banner_type
Tavares Chamber of Commerce,300 East Main Street,Tavares,FL,32778,(352) 508-7397,https://www.tavareschamber.com/,,,28.802031,-81.725594,assets/popup-images/Tavares-chamber.jpg,,
"Altman Bail Bonds, Inc.",801 West Main Street,Tavares,FL,32778,(352) 343-6090,https://altmanbail.com/,Bail Bonds,,28.802218,-81.736038,assets/popup-images/altman-bail-bonds-inc.jpg,,
Puddle Jumpers,111 West Ruby Street,Tavares,FL,32778,(352) 508-5862,https://www.puddlejumperslakeside.com/,Dining,,28.801048,-81.728327,assets/popup-images/puddle-jumpers.jpg,,
"Peralta & Dvoran, PA",416 West Caroline Street,Tavares,FL,32778,(352) 434-0075,https://www.peraltaanddvoran.com/,Legal Services,,28.805348,-81.731882,assets/popup-images/peralta-dvoran-pa.jpg,assets/banners/slideshow/peralta-dvoran-pa_banner.jpg,slideshow
Infinity Financial Group,38 West Alfred Street,Tavares,FL,32778,(352) 609-5262,https://www.ifgfl.com/,Financial Services,,28.80401,-81.73063,assets/popup-images/infinity-financial-group.jpg,assets/banners/slideshow/infinity-financial-group.jpg,slideshow
Belton Bail Bonds,525 West Main Street,Tavares,FL,32778,(352) 343-7775,https://www.beltonbailbonds.com/,Bail Bonds,,28.80195,-81.731941,assets/popup-images/belton-bail-bonds.jpg,assets/banners/slideshow/BeltonBailBondsBanner.jpg,slideshow
Community Health Centers,110 South Woodland Street,Winter Garden,FL,34787,(352) 314-7400,https://www.CHCfl.com/,Healthcare,,28.564618,-81.584949,assets/popup-images/community-health-centers.jpg,,
Atwater Apartments,2570 Ann Rou Road,Tavares,FL,32778,(352) 609-5000,https://www.atwatertavares.com/,Apartments,,28.82795,-81.707147,assets/popup-images/atwater-apts.png,assets/banners/slideshow/atwater-apartments.jpg,slideshow
Dennie and The Jets,117 East Main Street,Tavares,FL,32778,(407) 310-3294,https://www.reverbnation.com/dennieandthejets,Entertainment,,28.802627,-81.727417,assets/popup-images/dennie-and-the-jets.jpg,,
"DA Construction, Inc",1025 Bay Road,Mount Dora,FL,32757,(352) 602-4385,https://www.dabuilds.net/,Construction,,28.80441,-81.68762,assets/popup-images/da-construction-inc.jpg,assets/banners/slideshow/da-construction-inc.jpg,slideshow
UF Health,"701 North Palmetto Street, Suite F",Leesburg,FL,34748,(352) 323-5665,https://www.ufhealth.org/,Healthcare,,28.817901,-81.8757,assets/popup-images/uf-health.jpg,assets/banners/slideshow/uf-health.jpg,slideshow
Magical Meat Boutique,322 Alexander Street,Mount Dora,FL,32757,(352) 729-6911,https://mmbpub.com/,Dining,,28.79907,-81.645559,assets/popup-images/magical-meat-boutique.jpg,,
South State Bank,1892 E. Burleigh Blvd,Tavares,FL,32778,(352) 589-2226,https://www.southstatebank.com/,Financial Services,,28.82132,-81.7094,assets/popup-images/south-state-bank.jpg,,
"Deas Consulting, LLC",385 West Alfred Street,Tavares,FL,32778,(352) 406-1264,https://deas.consulting/,Business Services,,28.80401,-81.73063,assets/popup-images/deas-consulting-llc.jpg,assets/banners/slideshow/deas-consulting-llc.jpg,slideshow
Bru Tap House,143 East Main Street,Tavares,FL,32778,(352) 508-9321,https://www.brutaphouse.com/,Dining,,28.802627,-81.727417,assets/popup-images/bru-incorporated.jpg,,
San Jose's Mexican Restaurant,1990 State Road 19,Tavares,FL,32778,(352) 609-2243,https://www.sanjosesoriginal.com/,Dining,,28.78527,-81.75076,assets/popup-images/san-joses-mexican-restaurant.jpg,assets/banners/slideshow/san-joses-mexican-restaurant.jpg,slideshow
Auto Ride Customs II,29317 County Road 561,Tavares,FL,32778,(352) 508-5139,https://www.autoridecustoms.com/,Automotive,,28.772923,-81.740722,assets/popup-images/auto-ride-customs-ii.jpg,assets/banners/slideshow/auto-ride-customs-ii.jpg,slideshow
Prestige Ford,17701 Highway 441,Mount Dora,FL,32757,(352) 357-5522,https://www.prestigefordmtdora.com/,Automotive,,28.823304,-81.663746,assets/popup-images/prestige-ford.jpg,assets/banners/slideshow/prestige-ford.jpg,slideshow
Cousin Vinnie's Family Restaurant,10700 US Highway 441,Leesburg,FL,34788,(352) 253-2442,https://www.cvinnies.com/,Dining,,28.820331,-81.780126,assets/popup-images/cousin-vinnies-family-restaurant.jpg,assets/banners/slideshow/cousin-vinnies-family-restaurant.jpg,slideshow
Jorden Hayes Chrysler Jeep,3401 US Highway 441/27,Fruitland Park,FL,34731,(866) 441-8953,https://www.cdjrofleesburg.com/,Automotive,,28.847098,-81.897945,assets/popup-images/jorden-hayes-chrysler-jeep.jpg,,
The Cove at Tavares Village,1501 Sunshine Parkway,Tavares,FL,32778,(352) 742-7111,https://www.tavaresvillage.com/,Senior Living,,28.788221,-81.762238,assets/popup-images/tavares-village.jpg,assets/banners/slideshow/tavares-village.jpg,slideshow
Cousins Kolaches,359 E Burleigh Blvd,Tavares,FL,32778,(352) 742-7432,https://cousinskolaches.com/,Dining,,28.81728,-81.72622,assets/popup-images/cousins-kolaches.jpg,,
Tom Dolan Inspections,939 Dora Avenue,Tavares,FL,32778,(352) 764-7473,https://www.dolaninspections.com/,Home Services,,28.810651,-81.717488,assets/popup-images/tom-dolan-inspections.jpg,,
Titan Roofing,"450 East Highway 50, Suite 3",Clermont,FL,34711,(352) 708-8002,https://www.titanroofingprofessionals.com/,Home Services,,28.550759,-81.75049,assets/popup-images/titan-roofing.jpg,assets/banners/slideshow/titan-roofing.jpg,slideshow
Compass Self Storage,2601 State Road 19,Tavares,FL,32778,(352) 309-2551,https://www.compassselfstorage.com/self-storage/fl/tavares/state-rt-19/,Storage,,28.778015,-81.746935,assets/popup-images/compass-self-storage.jpg,,
AdventHealth Centra Care,"2600 Westhall Lane, 3rd Floor",Maitland,FL,32751,(352) 508-4030,https://www.adventhealth.com/,Healthcare,,28.636291,-81.39621,assets/popup-images/adventhealth-centra-care.jpg,assets/banners/slideshow/advent-health.jpg,slideshow
Tavadora Apartments,1403 E Alfred St,Tavares,FL,32778,(352) 343-6950,https://www.tavadora.com/,Apartments,,28.80428,-81.71297,assets/popup-images/tavadora-apartments.jpg,assets/banners/premium/tavadora.jpg,premium
Symons AC & Heating Inc,P.O. Box 2027,Mount Dora,FL,32756,(352) 536-7555,https://www.symonsac.com/,Home Services,,28.802792,-81.693214,assets/popup-images/symons-ac-heating-inc.jpg,assets/banners/slideshow/symons-ac-heating-inc.jpg,slideshow
